Vármegye,Település,Becslőjárás
Bács-Kiskun,Ágasegyháza,75
Bács-Kiskun,Akasztó,81
Bács-Kiskun,Apostag,88
Bács-Kiskun,Bácsalmás,149
Bács-Kiskun,Bácsbokod,4
Bács-Kiskun,Bácsborsód,4
Bács-Kiskun,Bácsszentgyörgy,4
Bács-Kiskun,Bácsszőlős,149
Bács-Kiskun,Baja,5
Bács-Kiskun,Ballószög,75
Bács-Kiskun,Balotaszállás,37
Bács-Kiskun,Bátmonostor,4
Bács-Kiskun,Bátya,61
Bács-Kiskun,Bócsa,81
Bács-Kiskun,Borota,5
Bács-Kiskun,Bugac,81
Bács-Kiskun,Bugacpusztaháza,81
Bács-Kiskun,Császártöltés,81
Bács-Kiskun,Csátalja,4
Bács-Kiskun,Csávoly,4
Bács-Kiskun,Csengőd,81
Bács-Kiskun,Csikéria,149
Bács-Kiskun,Csólyospálos,36
Bács-Kiskun,Dávod,4
Bács-Kiskun,Drágszél,61
Bács-Kiskun,Dunaegyháza,88
Bács-Kiskun,Dunafalva,108
Bács-Kiskun,Dunapataj,61
Bács-Kiskun,Dunaszentbenedek,61
Bács-Kiskun,Dunatetétlen,88
Bács-Kiskun,Dunavecse,88
Bács-Kiskun,Dusnok,61
Bács-Kiskun,Érsekcsanád,61
Bács-Kiskun,Érsekhalma,61
Bács-Kiskun,Fajsz,61
Bács-Kiskun,Felsőlajos,75
Bács-Kiskun,Felsőszentiván,4
Bács-Kiskun,Foktő,61
Bács-Kiskun,Fülöpháza,89
Bács-Kiskun,Fülöpjakab,36
Bács-Kiskun,Fülöpszállás,89
Bács-Kiskun,Gara,4
Bács-Kiskun,Gátér,36
Bács-Kiskun,Géderlak,61
Bács-Kiskun,Hajós,61
Bács-Kiskun,Harkakötöny,81
Bács-Kiskun,Harta,88
Bács-Kiskun,Helvécia,75
Bács-Kiskun,Hercegszántó,4
Bács-Kiskun,Homokmégy,61
Bács-Kiskun,Imrehegy,81
Bács-Kiskun,Izsák,81
Bács-Kiskun,Jakabszállás,81
Bács-Kiskun,Jánoshalma,5
Bács-Kiskun,Jászszentlászló,36
Bács-Kiskun,Kalocsa,61
Bács-Kiskun,Kaskantyú,81
Bács-Kiskun,Katymár,4
Bács-Kiskun,Kecel,81
Bács-Kiskun,Kecskemét,75
Bács-Kiskun,Kelebia,149
Bács-Kiskun,Kéleshalom,5
Bács-Kiskun,Kerekegyháza,75
Bács-Kiskun,Kiskőrös,81
Bács-Kiskun,Kiskunfélegyháza,36
Bács-Kiskun,Kiskunhalas,37
Bács-Kiskun,Kiskunmajsa,36
Bács-Kiskun,Kisszállás,5
Bács-Kiskun,Kömpöc,36
Bács-Kiskun,Kunadacs,145
Bács-Kiskun,Kunbaja,149
Bács-Kiskun,Kunbaracs,145
Bács-Kiskun,Kunfehértó,37
Bács-Kiskun,Kunpeszér,145
Bács-Kiskun,Kunszállás,36
Bács-Kiskun,Kunszentmiklós,89
Bács-Kiskun,Ladánybene,75
Bács-Kiskun,Lajosmizse,75
Bács-Kiskun,Lakitelek,75
Bács-Kiskun,Madaras,4
Bács-Kiskun,Mátételke,4
Bács-Kiskun,Mélykút,4
Bács-Kiskun,Miske,61
Bács-Kiskun,Móricgát,36
Bács-Kiskun,Nagybaracska,4
Bács-Kiskun,Nemesnádudvar,61
Bács-Kiskun,Nyárlőrinc,75
Bács-Kiskun,Ordas,61
Bács-Kiskun,Orgovány,81
Bács-Kiskun,Öregcsertő,61
Bács-Kiskun,Páhi,81
Bács-Kiskun,Pálmonostora,36
Bács-Kiskun,Petőfiszállás,36
Bács-Kiskun,Pirtó,37
Bács-Kiskun,Rém,5
Bács-Kiskun,Solt,88
Bács-Kiskun,Soltszentimre,81
Bács-Kiskun,Soltvadkert,81
Bács-Kiskun,Sükösd,61
Bács-Kiskun,Szabadszállás,89
Bács-Kiskun,Szakmár,61
Bács-Kiskun,Szalkszentmárton,88
Bács-Kiskun,Szank,36
Bács-Kiskun,Szentkirály,75
Bács-Kiskun,Szeremle,4
Bács-Kiskun,Tabdi,81
Bács-Kiskun,Tass,88
Bács-Kiskun,Tataháza,4
Bács-Kiskun,Tázlár,81
Bács-Kiskun,Tiszaalpár,75
Bács-Kiskun,Tiszakécske,75
Bács-Kiskun,Tiszaug,104
Bács-Kiskun,Tompa,149
Bács-Kiskun,Újsolt,88
Bács-Kiskun,Újtelek,61
Bács-Kiskun,Uszód,61
Bács-Kiskun,Városföld,75
Bács-Kiskun,Vaskút,5
Bács-Kiskun,Zsana,37
Baranya,Abaliget,97
Baranya,Adorjás,141
Baranya,Ág,97
Baranya,Almamellék,165
Baranya,Almáskeresztúr,165
Baranya,Alsómocsolád,97
Baranya,Alsószentmárton,141
Baranya,Apátvarasd,108
Baranya,Aranyosgadány,126
Baranya,Áta,126
Baranya,Babarc,107
Baranya,Babarcszőlős,161
Baranya,Bakóca,97
Baranya,Bakonya,161
Baranya,Baksa,161
Baranya,Bánfa,161
Baranya,Bár,108
Baranya,Baranyahídvég,141
Baranya,Baranyajenő,97
Baranya,Baranyaszentgyörgy,97
Baranya,Basal,165
Baranya,Belvárdgyula,126
Baranya,Beremend,141
Baranya,Berkesd,108
Baranya,Besence,141
Baranya,Bezedek,107
Baranya,Bicsérd,161
Baranya,Bikal,97
Baranya,Birján,126
Baranya,Bisse,142
Baranya,Boda,161
Baranya,Bodolyabér,97
Baranya,Bogád,126
Baranya,Bogádmindszent,161
Baranya,Bogdása,161
Baranya,Boldogasszonyfa,165
Baranya,Bóly,107
Baranya,Borjád,107
Baranya,Bosta,126
Baranya,Botykapeterd,161
Baranya,Bükkösd,162
Baranya,Bürüs,166
Baranya,Cún,141
Baranya,Csányoszró,141
Baranya,Csarnóta,142
Baranya,Csebény,162
Baranya,Cserdi,161
Baranya,Cserkút,127
Baranya,Csertő,165
Baranya,Csonkamindszent,161
Baranya,Dencsháza,161
Baranya,Dinnyeberki,162
Baranya,Diósviszló,140
Baranya,Drávacsehi,141
Baranya,Drávacsepely,141
Baranya,Drávafok,166
Baranya,Drávaiványi,161
Baranya,Drávakeresztúr,166
Baranya,Drávapalkonya,141
